,city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
473,北京,nlp算法工程师,2-2.5万,"['Python', '文本分析', '文本分类']",经验不限,本科,全职,1,北京·丰台·玉泉营,2025/3/26,22500.0,0,本科,,30928
474,北京,算法工程师,2-3万,"['机器视觉', '图像算法', 'OpenCV', 'Python', 'C++']",1-3年,本科,全职,1,北京·海淀·海淀街道,2025/3/26,25000.0,0,本科,2.0,30929
475,北京,校企合作总监（专业共建、产教融合、产行学院，Base北京）,1.2-1.5万,"['院校客户', 'KA大客户', '校企合作', '产业学院']",5-10年,本科,全职,2,北京·海淀·马连洼,2025/4/1,13500.0,0,本科,7.5,30715
476,北京,大模型高级工程师,2.5-4.5万·14薪,"['大模型', '自然语言']",1-3年,博士,全职,1,北京·海淀·东升,2025/2/26,35000.0,0,博士,2.0,30710
477,北京,运维开发工程师,1-1.5万·13薪,"['服务器运维', '系统运维', 'IDC/机房运维', 'Shell', 'Python']",5-10年,本科,全职,1,北京·西城·德胜,2025/3/12,12500.0,0,本科,7.5,30926
478,北京,算法工程师,1-2万,"['图像算法', 'LIDAR', '深度学习', 'PCL', '点云', '激光雷达']",1-3年,本科,全职,2,北京·顺义,2025/3/3,15000.0,0,本科,2.0,30930
479,北京,机器人系统开发工程师,2.5-5万·14薪,['机器人算法'],5-10年,本科,全职,1,北京·海淀·海淀街道,2024/12/16,37500.0,0,本科,7.5,30890
480,北京,图像视频算法工程师,1.5-2.5万·13薪,"['图像处理', 'OpenCV']",3-5年,本科,全职,1,北京·东城·东四,2025/3/7,20000.0,0,本科,4.0,30793
481,北京,算法工程师,2-4万,['统计学'],经验不限,硕士,全职,1,北京·西城·德胜,2024/9/6,30000.0,0,硕士,,30931
482,北京,昇腾AI算法-北京,面议,"['自然语言处理', '图像算法', '机器视觉', 'PyTorch', 'TensorFlow', 'Python', 'C++']",1-3年,本科,全职,1,北京·朝阳·朝外,2024/9/18,,0,本科,2.0,30932
483,北京,AI研发工程师,3-6万,"['深度学习', '机器学习', '图像算法']",5-10年,硕士,全职,1,北京·朝阳·建外,2025/3/13,45000.0,1,硕士,7.5,30933
484,北京,产品总监,3-5万,[],经验不限,本科,全职,1,北京·海淀·上地,2025/3/20,40000.0,1,本科,,30778
485,北京,系统集成工程师（BC）,8000-12000元·13薪,"['测试开发', 'C/C++', '系统集成', 'MATLAB', 'C语言', 'LabVIEW', '接口自动化测试', '电机']",经验不限,本科,全职,2,北京·昌平·城北,2024/11/25,10000.0,0,本科,,30934
486,北京,售后服务工程师,8000-12000元·13薪,"['硬件集成调试', '系统调试', '技术沟通', 'CAD', 'EPLAN']",5-10年,大专,全职,1,北京·海淀·上地,2025/3/18,10000.0,0,大专,7.5,30896
487,北京,数字科技中心数据算法专业经理,2.5-3.5万,[],5-10年,硕士,全职,1,北京·丰台·看丹,2025/3/31,30000.0,0,硕士,7.5,30935
488,北京,大模型应用算法工程师,2.2-3万·13薪,"['Python', '深度学习', '机器学习', 'Transformer', 'BERT', '知识图谱', 'PyTorch', 'TensorFlow']",5-10年,本科,全职,1,北京·丰台·太平桥,2025/3/4,26000.0,0,本科,7.5,30647
489,北京,售前工程师,面议,"['软件产品', '智慧产品', '云服务产品']",3-5年,本科,全职,2,北京·朝阳·望京,2025/4/1,,0,本科,4.0,30936
490,北京,大模型开发训练工程师,2-4万,"['深度学习', '机器学习', '大模型算法', '机器视觉', '自然语言处理', 'PyTorch', 'TensorFlow', 'Keras', 'Python', 'AI算法', '大规模数据处理']",3-5年,硕士,全职,1,北京·海淀·学院路,2025/3/24,30000.0,0,硕士,4.0,30898
491,北京,AI算法专家级研发工程师,6-7万,"['机器学习', '深度学习', '图像算法', 'Transformer', 'Python', 'C++']",3-5年,硕士,全职,1,北京·海淀·甘家口,2024/10/18,65000.0,1,硕士,4.0,30709
492,北京,解决方案工程师（base华北均可）,1-1.2万,[],5-10年,大专,全职,2,北京·朝阳·奥运村,2025/3/18,11000.0,0,大专,7.5,30937
493,北京,售前方案工程师,9000-17000元,"['IT/互联网', '软件行业', '人工智能', '物联网', '云计算/大数据']",1-3年,大专,全职,2,北京·通州·新华,2025/3/29,13000.0,0,大专,2.0,30938
494,北京,中高级AI算法工程师,2-3.5万,[],5-10年,本科,全职,5,北京·海淀·北下关,2025/3/25,27500.0,0,本科,7.5,30909
495,北京,AI大模型工程师,1.5-2.5万,[],3-5年,硕士,全职,1,北京·海淀,2025/3/10,20000.0,0,硕士,4.0,30939
496,北京,开发工程师（AI方向）,2-3万·15薪,[],1-3年,硕士,全职,1,北京·朝阳·建外,2024/7/8,25000.0,0,硕士,2.0,30750
497,北京,监理工程师,2-3万,['注册监理工程师证'],经验不限,大专,全职,3,北京·南法信,2024/8/8,25000.0,0,大专,,30940
498,北京,高级售前支持工程师,3-4.5万,['知识图谱'],5-10年,本科,全职,2,北京·海淀·中关村,2024/10/22,37500.0,0,本科,7.5,30693
499,北京,机器学习算法工程师,4.5-5.5万,"['C++', 'Python', 'pytorch', 'TensorFlow', 'Theano']",1-3年,硕士,全职,1,北京·左家庄,2024/6/14,50000.0,1,硕士,2.0,30941
500,北京,算力应用支撑岗（网络方向）,面议,"['ROCE', '通信算法']",3-5年,本科,全职,4,北京·海淀·上地,2025/2/5,,0,本科,4.0,30942
